keyword,Occurrence,2023-03-27,2023-03-26,2023-03-25,2023-03-24,2023-03-23,2023-03-22,2023-03-21,slope
zkSync,5.625,5.625,5.084745762711865,0.0,0.0,0.0,0.0,0.0,0.9658746973365617
ARB,3.75,3.75,1.694915254237288,1.1363636363636365,1.1363636363636365,1.1363636363636365,1.1363636363636365,2.7777777777777777,0.14406321080049894
Etherscan,3.125,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.33482142857142855
中心化,2.5,2.5,1.694915254237288,3.4090909090909087,3.4090909090909087,3.4090909090909087,3.4090909090909087,0.6944444444444444,0.07101126274855091
Base,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.26785714285714285
L2,1.875,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.20089285714285712
Trader,1.875,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.20089285714285712
AI,1.875,1.875,3.389830508474576,2.272727272727273,2.272727272727273,2.272727272727273,2.272727272727273,0.6944444444444444,0.20628118350575975
ChatGPT,1.875,1.875,0.0,1.1363636363636365,1.1363636363636365,1.1363636363636365,1.1363636363636365,1.3888888888888888,-0.029085497835497836
NFT,1.875,1.875,3.389830508474576,6.8181818181818175,6.8181818181818175,6.8181818181818175,6.8181818181818175,2.083333333333333,-0.2672036649790886
LayerZero,1.25,1.25,1.694915254237288,0.0,0.0,0.0,0.0,0.0,0.2549939467312348
OP,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.13392857142857142
融资,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.13392857142857142
区块,1.25,1.25,3.389830508474576,0.0,0.0,0.0,0.0,0.0,0.37605932203389825
