keyword,Occurrence,2023-02-23,2023-02-22,2023-02-21,2023-02-20,2023-02-19,2023-02-18,2023-02-17,slope
全链,5.063291139240507,5.063291139240507,0.8583690987124464,0.0,0.0,0.0,0.0,0.0,0.6038075576838003
Delphi,3.79746835443038,3.79746835443038,0.0,0.0,3.1446540880503147,0.0,0.0,0.0,0.40687160940325495
代币,3.79746835443038,3.79746835443038,2.1459227467811157,2.631578947368421,5.031446540880504,3.125,4.918032786885246,3.0303030303030303,-0.13343375573063537
Coinbase,3.1645569620253164,3.1645569620253164,0.8583690987124464,0.0,0.0,0.0,0.0,0.0,0.4003717529821729
NFT,3.1645569620253164,3.1645569620253164,9.871244635193133,6.140350877192982,7.547169811320755,15.625,6.557377049180328,8.484848484848486,-0.6720638756875328
Blur,3.1645569620253164,3.1645569620253164,8.583690987124463,4.385964912280701,5.660377358490567,0.0,3.278688524590164,4.848484848484849,0.35514950635609654
Defactor,2.5316455696202533,2.5316455696202533,0.0,0.0,0.0,0.0,0.0,0.0,0.27124773960217
AI,1.89873417721519,1.89873417721519,3.004291845493562,0.0,0.628930817610063,0.0,0.0,1.8181818181818181,0.22322288457454426
stark,1.89873417721519,1.89873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.2034358047016275
明牌,1.89873417721519,1.89873417721519,0.4291845493562232,0.0,0.0,0.0,0.0,0.0,0.23409184394135768
Optimism,1.2658227848101267,1.2658227848101267,1.2875536480686696,0.0,0.0,0.0,0.0,0.0,0.22759198752027568
amp,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
NBA,1.2658227848101267,1.2658227848101267,0.0,0.8771929824561403,0.0,0.0,1.639344262295082,0.0,0.04985617186772701
经验之谈,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
Lexer,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
Cardano,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
Network,1.2658227848101267,1.2658227848101267,3.4334763948497855,0.8771929824561403,1.257861635220126,0.0,1.639344262295082,1.2121212121212122,0.16523435591543897
解构,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
2023.2,1.2658227848101267,1.2658227848101267,0.0,0.8771929824561403,0.0,3.125,1.639344262295082,1.2121212121212122,-0.1916211008595457
火必,1.2658227848101267,1.2658227848101267,0.4291845493562232,0.8771929824561403,0.0,0.0,0.0,0.6060606060606061,0.1326731649077553
熊转,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
Combinator,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
Dookey,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
paprMEME,1.2658227848101267,1.2658227848101267,0.0,0.0,0.0,0.0,0.0,0.0,0.135623869801085
圣杯,1.2658227848101267,1.2658227848101267,0.8583690987124464,0.0,0.0,0.0,0.0,0.0,0.19693594828054542
