source,article_title,post_date,keywords,url
blockbeats,USA《反洗钱法案》，FTX后的「亡羊补牢」？,2023-02-13 23:57:01,"[('反洗钱法', 3.475169413), ('USA', 2.988691875725), ('FTX', 2.988691875725)]",https://www.theblockbeats.info/news/34619
blockbeats,Binance会和SEC和解吗？看看历史上被SEC罚过的知名项目们,2023-02-13 22:44:19,"[('SEC', 2.6566150006444444), ('罚过', 1.467503385711111), ('Binance', 1.3283075003222222)]",https://www.theblockbeats.info/news/34625
blockbeats,安全特辑：一文速览欧易安全月报（1 月）,2023-02-13 22:02:38,"[('特辑', 2.0857305484833333), ('速览', 1.9924612504833332), ('欧易', 1.9924612504833332)]",https://www.theblockbeats.info/news/34626
blockbeats,终止服务！美SEC向头部平台发难，以太坊LSD赛道格局生变？,2023-02-13 22:00:02,"[('赛道', 1.1008107438818182), ('SEC', 1.0867970457181817), ('LSD', 1.0867970457181817)]",https://www.theblockbeats.info/news/34621
blockbeats,Blur空投落地会是NFT市场的「牛熊分水岭」吗？,2023-02-13 18:59:50,"[('Blur', 1.7078239289857142), ('NFT', 1.7078239289857142), ('牛熊', 1.38514071894)]",https://www.theblockbeats.info/news/34624
blockbeats,稳定币发行商Paxos突遭美国监管机构审查，BUSD仅是开端？,2023-02-13 18:28:32,"[('Paxos', 1.19547675029), ('突遭', 1.19547675029), ('BUSD', 1.19547675029)]",https://www.theblockbeats.info/news/34622
blockbeats,MakerDAO的野心：成立新公司Phoenix Labs与Spark Protocol，进军LSD,2023-02-13 17:44:59,"[('MakerDAO', 1.19547675029), ('Phoenix', 1.19547675029), ('Labs', 1.19547675029)]",https://www.theblockbeats.info/news/34599
blockbeats,AAVE的去中心化稳定币GHO上线测试网：速览更新内容及阶段性进展,2023-02-13 16:24:47,"[('中心化', 1.1638241239363636), ('AAVE', 1.0867970457181817), ('GHO', 1.0867970457181817)]",https://www.theblockbeats.info/news/34600
blockbeats,以太坊上海升级或推迟到四月，EIP 4844更名为Deneb,2023-02-13 15:28:35,"[('EIP', 1.3283075003222222), ('4844', 1.3283075003222222), ('Deneb', 1.3283075003222222)]",https://www.theblockbeats.info/news/34605
blockbeats,轻松理解Rollup：ZK Rollups与Optimistic，Arbitrum的区别,2023-02-13 15:19:20,"[('Rollup', 1.4943459378625), ('ZK', 1.4943459378625), ('Rollups', 1.4943459378625)]",https://www.theblockbeats.info/news/34604
